estacion_id,nombre,linea,zona,lat,lon
TM-L18-04,Estación Bulevar El Naranjo 4,L18,Zona 11,14.518688,-90.618153
TM-L18-05,Estación Bulevar El Naranjo 5,L18,Zona 12,14.630781,-90.537109
TM-L18-06,Estación Bulevar El Naranjo 6,L18,Zona 13,14.604889,-90.6123
TM-L18-07,Estación Bulevar El Naranjo 7,L18,Zona 17,14.55353,-90.561951
TM-L18-08,Estación Bulevar El Naranjo 8,L18,Zona 18,14.520555,-90.53232
TM-L18-09,Estación Bulevar El Naranjo 9,L18,Mixco,14.58213,-90.627488
TM-L18-10,Estación Bulevar El Naranjo 10,L18,Villa Nueva,14.531848,-90.604811
TM-L18-11,Estación Bulevar El Naranjo 11,L18,San Miguel Petapa,14.625862,-90.631857
TM-L18-12,Estación Bulevar El Naranjo 12,L18,Zona 1,14.558058,-90.488984
TM-L18-13,Estación Bulevar El Naranjo 13,L18,Zona 4,14.541328,-90.504152
TM-R5-01,Estación Ruta 5 1,R5,Zona 11,14.493935,-90.51203
TM-R5-02,Estación Ruta 5 2,R5,Zona 12,14.618007,-90.616755
TM-R5-03,Estación Ruta 5 3,R5,Zona 13,14.555389,-90.498626
TM-R5-04,Estación Ruta 5 4,R5,Zona 17,14.553033,-90.467814
TM-R5-05,Estación Ruta 5 5,R5,Zona 18,14.48887,-90.488013
TM-R5-06,Estación Ruta 5 6,R5,Mixco,14.530195,-90.563436
TM-R5-07,Estación Ruta 5 7,R5,Villa Nueva,14.534536,-90.625841
TM-R5-08,Estación Ruta 5 8,R5,San Miguel Petapa,14.514884,-90.578068
TM-R5-09,Estación Ruta 5 9,R5,Zona 1,14.50742,-90.550432
TM-R5-10,Estación Ruta 5 10,R5,Zona 4,14.600445,-90.565167
TM-R5-11,Estación Ruta 5 11,R5,Zona 6,14.544186,-90.581358
TM-R5-12,Estación Ruta 5 12,R5,Zona 7,14.54677,-90.618381
TM-R5-13,Estación Ruta 5 13,R5,Zona 8,14.603388,-90.496592
