cod_parada,descripcion,ruta,sector
R-117-5,Parada 5 ruta R-117,R-117,Z11
R-117-6,Parada 6 ruta R-117,R-117,Z12
R-117-7,Parada 7 ruta R-117,R-117,Z13
R-117-8,Parada 8 ruta R-117,R-117,Z17
R-118-1,Parada 1 ruta R-118,R-118,Z9
R-118-2,Parada 2 ruta R-118,R-118,Z10
R-118-3,Parada 3 ruta R-118,R-118,Z11
R-118-4,Parada 4 ruta R-118,R-118,Z12
R-118-5,Parada 5 ruta R-118,R-118,Z13
R-118-6,Parada 6 ruta R-118,R-118,Z17
R-118-7,Parada 7 ruta R-118,R-118,Z18
R-118-8,Parada 8 ruta R-118,R-118,MIXCO
R-119-1,Parada 1 ruta R-119,R-119,Z11
R-119-2,Parada 2 ruta R-119,R-119,Z12
R-119-3,Parada 3 ruta R-119,R-119,Z13
R-119-4,Parada 4 ruta R-119,R-119,Z17
R-119-5,Parada 5 ruta R-119,R-119,Z18
R-119-6,Parada 6 ruta R-119,R-119,MIXCO
R-119-7,Parada 7 ruta R-119,R-119,VILLA NUEVA
R-119-8,Parada 8 ruta R-119,R-119,SAN MIGUEL PETAPA
R-120-1,Parada 1 ruta R-120,R-120,Z13
R-120-2,Parada 2 ruta R-120,R-120,Z17
R-120-3,Parada 3 ruta R-120,R-120,Z18
R-120-4,Parada 4 ruta R-120,R-120,MIXCO
R-120-5,Parada 5 ruta R-120,R-120,VILLA NUEVA
R-120-6,Parada 6 ruta R-120,R-120,SAN MIGUEL PETAPA
R-120-7,Parada 7 ruta R-120,R-120,Z1
R-120-8,Parada 8 ruta R-120,R-120,Z4
R-121-1,Parada 1 ruta R-121,R-121,Z18
R-121-2,Parada 2 ruta R-121,R-121,MIXCO
R-121-3,Parada 3 ruta R-121,R-121,VILLA NUEVA
R-121-4,Parada 4 ruta R-121,R-121,SAN MIGUEL PETAPA
R-121-5,Parada 5 ruta R-121,R-121,Z1
R-121-6,Parada 6 ruta R-121,R-121,Z4
R-121-7,Parada 7 ruta R-121,R-121,Z6
R-121-8,Parada 8 ruta R-121,R-121,Z7
R-122-1,Parada 1 ruta R-122,R-122,VILLA NUEVA
R-122-2,Parada 2 ruta R-122,R-122,SAN MIGUEL PETAPA
R-122-3,Parada 3 ruta R-122,R-122,Z1
R-122-4,Parada 4 ruta R-122,R-122,Z4
R-122-5,Parada 5 ruta R-122,R-122,Z6
R-122-6,Parada 6 ruta R-122,R-122,Z7
R-122-7,Parada 7 ruta R-122,R-122,Z8
R-122-8,Parada 8 ruta R-122,R-122,Z9
R-123-1,Parada 1 ruta R-123,R-123,Z1
R-123-2,Parada 2 ruta R-123,R-123,Z4
R-123-3,Parada 3 ruta R-123,R-123,Z6
R-123-4,Parada 4 ruta R-123,R-123,Z7
R-123-5,Parada 5 ruta R-123,R-123,Z8
R-123-6,Parada 6 ruta R-123,R-123,Z9
R-123-7,Parada 7 ruta R-123,R-123,Z10
R-123-8,Parada 8 ruta R-123,R-123,Z11
R-124-1,Parada 1 ruta R-124,R-124,Z6
R-124-2,Parada 2 ruta R-124,R-124,Z7
R-124-3,Parada 3 ruta R-124,R-124,Z8
R-124-4,Parada 4 ruta R-124,R-124,Z9
R-124-5,Parada 5 ruta R-124,R-124,Z10
R-124-6,Parada 6 ruta R-124,R-124,Z11
R-124-7,Parada 7 ruta R-124,R-124,Z12
R-124-8,Parada 8 ruta R-124,R-124,Z13
R-125-1,Parada 1 ruta R-125,R-125,Z8
R-125-2,Parada 2 ruta R-125,R-125,Z9
R-125-3,Parada 3 ruta R-125,R-125,Z10
R-125-4,Parada 4 ruta R-125,R-125,Z11
R-125-5,Parada 5 ruta R-125,R-125,Z12
R-125-6,Parada 6 ruta R-125,R-125,Z13
R-125-7,Parada 7 ruta R-125,R-125,Z17
R-125-8,Parada 8 ruta R-125,R-125,Z18
R-126-1,Parada 1 ruta R-126,R-126,Z10
R-126-2,Parada 2 ruta R-126,R-126,Z11
R-126-3,Parada 3 ruta R-126,R-126,Z12
R-126-4,Parada 4 ruta R-126,R-126,Z13
R-126-5,Parada 5 ruta R-126,R-126,Z17
R-126-6,Parada 6 ruta R-126,R-126,Z18
R-126-7,Parada 7 ruta R-126,R-126,MIXCO
R-126-8,Parada 8 ruta R-126,R-126,VILLA NUEVA
R-127-1,Parada 1 ruta R-127,R-127,Z12
R-127-2,Parada 2 ruta R-127,R-127,Z13
R-127-3,Parada 3 ruta R-127,R-127,Z17
R-127-4,Parada 4 ruta R-127,R-127,Z18
R-127-5,Parada 5 ruta R-127,R-127,MIXCO
R-127-6,Parada 6 ruta R-127,R-127,VILLA NUEVA
R-127-7,Parada 7 ruta R-127,R-127,SAN MIGUEL PETAPA
R-127-8,Parada 8 ruta R-127,R-127,Z1
R-128-1,Parada 1 ruta R-128,R-128,Z17
R-128-2,Parada 2 ruta R-128,R-128,Z18
R-128-3,Parada 3 ruta R-128,R-128,MIXCO
R-128-4,Parada 4 ruta R-128,R-128,VILLA NUEVA
R-128-5,Parada 5 ruta R-128,R-128,SAN MIGUEL PETAPA
R-128-6,Parada 6 ruta R-128,R-128,Z1
R-128-7,Parada 7 ruta R-128,R-128,Z4
R-128-8,Parada 8 ruta R-128,R-128,Z6
R-129-1,Parada 1 ruta R-129,R-129,MIXCO
R-129-2,Parada 2 ruta R-129,R-129,VILLA NUEVA
R-129-3,Parada 3 ruta R-129,R-129,SAN MIGUEL PETAPA
R-129-4,Parada 4 ruta R-129,R-129,Z1
R-129-5,Parada 5 ruta R-129,R-129,Z4
R-129-6,Parada 6 ruta R-129,R-129,Z6
R-129-7,Parada 7 ruta R-129,R-129,Z7
R-129-8,Parada 8 ruta R-129,R-129,Z8
R-130-1,Parada 1 ruta R-130,R-130,SAN MIGUEL PETAPA
R-130-2,Parada 2 ruta R-130,R-130,Z1
R-130-3,Parada 3 ruta R-130,R-130,Z4
R-130-4,Parada 4 ruta R-130,R-130,Z6
R-130-5,Parada 5 ruta R-130,R-130,Z7
R-130-6,Parada 6 ruta R-130,R-130,Z8
R-130-7,Parada 7 ruta R-130,R-130,Z9
R-130-8,Parada 8 ruta R-130,R-130,Z10
R-131-1,Parada 1 ruta R-131,R-131,Z4
R-131-2,Parada 2 ruta R-131,R-131,Z6
R-131-3,Parada 3 ruta R-131,R-131,Z7
R-131-4,Parada 4 ruta R-131,R-131,Z8
R-131-5,Parada 5 ruta R-131,R-131,Z9
R-131-6,Parada 6 ruta R-131,R-131,Z10
R-131-7,Parada 7 ruta R-131,R-131,Z11
R-131-8,Parada 8 ruta R-131,R-131,Z12
R-132-1,Parada 1 ruta R-132,R-132,Z7
R-132-2,Parada 2 ruta R-132,R-132,Z8
R-132-3,Parada 3 ruta R-132,R-132,Z9
R-132-4,Parada 4 ruta R-132,R-132,Z10
R-132-5,Parada 5 ruta R-132,R-132,Z11
R-132-6,Parada 6 ruta R-132,R-132,Z12
R-132-7,Parada 7 ruta R-132,R-132,Z13
R-132-8,Parada 8 ruta R-132,R-132,Z17
R-133-1,Parada 1 ruta R-133,R-133,Z9
R-133-2,Parada 2 ruta R-133,R-133,Z10
R-133-3,Parada 3 ruta R-133,R-133,Z11
R-133-4,Parada 4 ruta R-133,R-133,Z12
R-133-5,Parada 5 ruta R-133,R-133,Z13
R-133-6,Parada 6 ruta R-133,R-133,Z17
R-133-7,Parada 7 ruta R-133,R-133,Z18
R-133-8,Parada 8 ruta R-133,R-133,MIXCO
R-134-1,Parada 1 ruta R-134,R-134,Z11
R-134-2,Parada 2 ruta R-134,R-134,Z12
R-134-3,Parada 3 ruta R-134,R-134,Z13
R-134-4,Parada 4 ruta R-134,R-134,Z17
R-134-5,Parada 5 ruta R-134,R-134,Z18
R-134-6,Parada 6 ruta R-134,R-134,MIXCO
R-134-7,Parada 7 ruta R-134,R-134,VILLA NUEVA
R-134-8,Parada 8 ruta R-134,R-134,SAN MIGUEL PETAPA
R-135-1,Parada 1 ruta R-135,R-135,Z13
R-135-2,Parada 2 ruta R-135,R-135,Z17
R-135-3,Parada 3 ruta R-135,R-135,Z18
R-135-4,Parada 4 ruta R-135,R-135,MIXCO
R-135-5,Parada 5 ruta R-135,R-135,VILLA NUEVA
R-135-6,Parada 6 ruta R-135,R-135,SAN MIGUEL PETAPA
R-135-7,Parada 7 ruta R-135,R-135,Z1
R-135-8,Parada 8 ruta R-135,R-135,Z4
R-136-1,Parada 1 ruta R-136,R-136,Z18
R-136-2,Parada 2 ruta R-136,R-136,MIXCO
R-136-3,Parada 3 ruta R-136,R-136,VILLA NUEVA
R-136-4,Parada 4 ruta R-136,R-136,SAN MIGUEL PETAPA
R-136-5,Parada 5 ruta R-136,R-136,Z1
R-136-6,Parada 6 ruta R-136,R-136,Z4
R-136-7,Parada 7 ruta R-136,R-136,Z6
R-136-8,Parada 8 ruta R-136,R-136,Z7
R-137-1,Parada 1 ruta R-137,R-137,VILLA NUEVA
R-137-2,Parada 2 ruta R-137,R-137,SAN MIGUEL PETAPA
R-137-3,Parada 3 ruta R-137,R-137,Z1
R-137-4,Parada 4 ruta R-137,R-137,Z4
R-137-5,Parada 5 ruta R-137,R-137,Z6
R-137-6,Parada 6 ruta R-137,R-137,Z7
R-137-7,Parada 7 ruta R-137,R-137,Z8
R-137-8,Parada 8 ruta R-137,R-137,Z9
R-138-1,Parada 1 ruta R-138,R-138,Z1
R-138-2,Parada 2 ruta R-138,R-138,Z4
R-138-3,Parada 3 ruta R-138,R-138,Z6
R-138-4,Parada 4 ruta R-138,R-138,Z7
R-138-5,Parada 5 ruta R-138,R-138,Z8
R-138-6,Parada 6 ruta R-138,R-138,Z9
R-138-7,Parada 7 ruta R-138,R-138,Z10
R-138-8,Parada 8 ruta R-138,R-138,Z11
R-139-1,Parada 1 ruta R-139,R-139,Z6
R-139-2,Parada 2 ruta R-139,R-139,Z7
R-139-3,Parada 3 ruta R-139,R-139,Z8
R-139-4,Parada 4 ruta R-139,R-139,Z9
R-139-5,Parada 5 ruta R-139,R-139,Z10
R-139-6,Parada 6 ruta R-139,R-139,Z11
R-139-7,Parada 7 ruta R-139,R-139,Z12
R-139-8,Parada 8 ruta R-139,R-139,Z13
R-140-1,Parada 1 ruta R-140,R-140,Z8
R-140-2,Parada 2 ruta R-140,R-140,Z9
R-140-3,Parada 3 ruta R-140,R-140,Z10
R-140-4,Parada 4 ruta R-140,R-140,Z11
R-140-5,Parada 5 ruta R-140,R-140,Z12
R-140-6,Parada 6 ruta R-140,R-140,Z13
R-140-7,Parada 7 ruta R-140,R-140,Z17
R-140-8,Parada 8 ruta R-140,R-140,Z18
R-141-1,Parada 1 ruta R-141,R-141,Z10
R-141-2,Parada 2 ruta R-141,R-141,Z11
R-141-3,Parada 3 ruta R-141,R-141,Z12
R-141-4,Parada 4 ruta R-141,R-141,Z13
R-141-5,Parada 5 ruta R-141,R-141,Z17
R-141-6,Parada 6 ruta R-141,R-141,Z18
R-141-7,Parada 7 ruta R-141,R-141,MIXCO
R-141-8,Parada 8 ruta R-141,R-141,VILLA NUEVA
